epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,760.182,1.01157,44.2478,0.29169,0,0,0,0,0.98585,0.97998,0.27618,0.000663677,0.000663677,0.000663677
2,900.804,4.22324,4.21874,1.14176,0.01691,0.20248,0.024,0.00811,3.55477,3.66238,1.04549,0.001304,0.001304,0.001304
3,1037.77,3.92171,3.75494,1.08966,0.03845,0.04683,0.01488,0.00404,3.42829,3.28498,1.00822,0.00191793,0.00191793,0.00191793
4,1171.69,3.68066,3.5082,1.05243,0.12152,0.04132,0.01886,0.00453,4.26743,3.56336,1.07962,0.0018812,0.0018812,0.0018812
5,1307.72,3.49992,3.29247,1.01854,0.04973,0.23691,0.04129,0.00988,3.41155,2.87318,0.98214,0.0018416,0.0018416,0.0018416
6,1444.2,3.4324,3.19722,1.0016,0.13783,0.04959,0.03082,0.00669,3.53067,3.11731,0.98724,0.001802,0.001802,0.001802
7,1580.74,3.36423,3.17217,0.99517,0.08871,0.14601,0.03066,0.00678,3.60548,2.86373,0.9919,0.0017624,0.0017624,0.0017624
8,1715.89,3.32746,3.09232,0.98915,0.17375,0.10055,0.0689,0.01824,3.12875,2.99359,0.96873,0.0017228,0.0017228,0.0017228
9,1850.06,3.33373,3.08968,0.98903,0.10995,0.08953,0.04416,0.0094,3.5668,3.90616,1.04138,0.0016832,0.0016832,0.0016832
10,1984.79,3.27358,3.032,0.97755,0.1542,0.11251,0.06691,0.01611,3.22549,3.08362,0.97852,0.0016436,0.0016436,0.0016436
11,2119.93,3.28026,2.96805,0.97835,0.05275,0.0303,0.0149,0.00221,4.21576,3.05751,1.05606,0.001604,0.001604,0.001604
12,2255.72,3.24189,3.00896,0.97828,0.19041,0.1405,0.08676,0.02114,3.12666,2.69372,0.95137,0.0015644,0.0015644,0.0015644
13,2392.23,3.2449,2.94554,0.97631,0.17411,0.17355,0.08635,0.02242,3.11687,2.60964,0.95155,0.0015248,0.0015248,0.0015248
14,2526.78,3.20655,2.92093,0.97423,0.20686,0.22727,0.11898,0.02859,3.1133,2.4111,0.94188,0.0014852,0.0014852,0.0014852
15,2662.38,3.2077,2.90734,0.97361,0.12371,0.07851,0.04252,0.00907,3.52728,2.97739,0.98708,0.0014456,0.0014456,0.0014456
16,2795.33,3.18961,2.87049,0.96442,0.05887,0.10744,0.03085,0.00802,3.31407,3.37375,0.96893,0.001406,0.001406,0.001406
17,2931.25,3.15964,2.85576,0.9622,0.18442,0.25344,0.11482,0.02721,3.04489,2.39609,0.94046,0.0013664,0.0013664,0.0013664
18,3066.4,3.16097,2.83947,0.96843,0.18462,0.21893,0.10098,0.02539,3.12427,2.40435,0.944,0.0013268,0.0013268,0.0013268
19,3199.68,3.11809,2.79985,0.96423,0.14725,0.15427,0.05935,0.01406,3.28328,2.96527,0.96292,0.0012872,0.0012872,0.0012872
20,3334.04,3.11163,2.76718,0.95426,0.07118,0.07576,0.02298,0.00445,4.10513,2.80383,1.05501,0.0012476,0.0012476,0.0012476
21,3470.2,3.12247,2.81506,0.95998,0.2079,0.27686,0.1276,0.03371,3.00312,2.37435,0.93329,0.001208,0.001208,0.001208
22,3606.86,3.11611,2.7303,0.9556,0.12383,0.18182,0.06334,0.01424,3.19002,2.70701,0.9477,0.0011684,0.0011684,0.0011684
23,3742.32,3.07567,2.73033,0.95573,0.22575,0.2438,0.13547,0.03481,2.95314,2.3697,0.9308,0.0011288,0.0011288,0.0011288
24,3877.51,3.08227,2.70369,0.95665,0.22612,0.2865,0.14961,0.03889,2.88177,2.26508,0.92081,0.0010892,0.0010892,0.0010892
25,4013.78,3.05247,2.69035,0.95647,0.23649,0.19972,0.12475,0.03667,2.90289,2.55265,0.93398,0.0010496,0.0010496,0.0010496
26,4150.14,3.07565,2.68458,0.95189,0.19838,0.23554,0.12094,0.03235,2.94083,2.32725,0.92498,0.00101,0.00101,0.00101
27,4285.78,3.04537,2.68965,0.95283,0.21843,0.25215,0.13228,0.03543,2.9524,2.27599,0.92685,0.0009704,0.0009704,0.0009704
28,4419.31,3.04284,2.6791,0.95053,0.20396,0.29063,0.13477,0.03761,3.01015,2.39227,0.94735,0.0009308,0.0009308,0.0009308
29,4555.05,3.02678,2.64871,0.94796,0.2137,0.25758,0.12816,0.03346,2.97895,2.3083,0.92677,0.0008912,0.0008912,0.0008912
30,4690.02,3.02693,2.61863,0.94161,0.23364,0.26033,0.13986,0.03977,2.88116,2.28141,0.91925,0.0008516,0.0008516,0.0008516
31,4824.13,3.03106,2.64025,0.94468,0.22234,0.27273,0.14095,0.03909,2.893,2.37548,0.92418,0.000812,0.000812,0.000812
32,4960.18,2.99636,2.61991,0.94952,0.18392,0.21606,0.09905,0.02035,3.24691,2.42934,0.95076,0.0007724,0.0007724,0.0007724
33,5095.15,2.99884,2.59138,0.94299,0.24449,0.26164,0.1402,0.03927,2.87603,2.32486,0.91903,0.0007328,0.0007328,0.0007328
34,5230.78,2.99763,2.59931,0.94371,0.25011,0.25482,0.15806,0.04186,2.91873,2.20673,0.92181,0.0006932,0.0006932,0.0006932
35,5366.71,2.97265,2.56775,0.94368,0.18994,0.23416,0.09946,0.02147,3.26339,2.33754,0.95133,0.0006536,0.0006536,0.0006536
36,5502.56,2.98466,2.56326,0.93992,0.23612,0.22727,0.1245,0.02927,3.06282,2.21393,0.93239,0.000614,0.000614,0.000614
37,5638.1,2.94747,2.50674,0.9403,0.12596,0.17493,0.06947,0.01226,3.50042,2.46534,0.97583,0.0005744,0.0005744,0.0005744
38,5774.31,2.96966,2.50816,0.93761,0.25347,0.2909,0.15987,0.04195,2.9255,2.15011,0.91714,0.0005348,0.0005348,0.0005348
39,5912.05,2.94701,2.49768,0.93431,0.21688,0.26171,0.12817,0.03427,2.95316,2.26351,0.92183,0.0004952,0.0004952,0.0004952
40,6047.12,2.92964,2.49995,0.93547,0.23343,0.28237,0.14845,0.03535,3.03963,2.18004,0.92964,0.0004556,0.0004556,0.0004556
41,6182.1,2.85829,2.54449,0.94032,0.24028,0.27961,0.1566,0.04223,2.95506,2.1548,0.92307,0.000416,0.000416,0.000416
42,6316.89,2.85777,2.49036,0.93547,0.21781,0.27961,0.1467,0.03676,2.93805,2.14944,0.91901,0.0003764,0.0003764,0.0003764
43,6451.08,2.83135,2.56964,0.9343,0.24151,0.26446,0.1566,0.04435,2.88343,2.178,0.9153,0.0003368,0.0003368,0.0003368
44,6585.9,2.82441,2.49051,0.93524,0.24482,0.2989,0.16411,0.04201,2.9493,2.123,0.91783,0.0002972,0.0002972,0.0002972
45,6718.85,2.84135,2.51015,0.93285,0.25051,0.29339,0.16796,0.04709,2.78226,2.08283,0.90652,0.0002576,0.0002576,0.0002576
46,6853.97,2.82547,2.44385,0.92967,0.24153,0.27686,0.14997,0.03966,2.92311,2.12755,0.91661,0.000218,0.000218,0.000218
47,6988.96,2.81149,2.45464,0.93041,0.25702,0.26445,0.16703,0.04494,2.86799,2.11953,0.91099,0.0001784,0.0001784,0.0001784
48,7123.93,2.78424,2.44363,0.93087,0.23451,0.2989,0.16686,0.04583,2.84587,2.08787,0.90949,0.0001388,0.0001388,0.0001388
49,7257.85,2.76762,2.4094,0.92624,0.2483,0.27299,0.15988,0.04405,2.87232,2.11605,0.91134,9.92e-05,9.92e-05,9.92e-05
50,7392.25,2.75884,2.44237,0.92695,0.24315,0.28926,0.16644,0.04525,2.86863,2.08812,0.91101,5.96e-05,5.96e-05,5.96e-05
