epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,463.729,1.81462,36.9971,0.50702,0,0,0,0,2.60087,2.98726,0.6731,0.000663677,0.000663677,0.000663677
2,758.095,4.32876,4.47776,1.15736,0.00289,0.15152,0.00219,0.00061,3.84536,3.40903,1.07989,0.001304,0.001304,0.001304
3,1052.13,4.07584,4.05863,1.1155,0.00517,0.27273,0.00904,0.00213,3.53273,3.66244,1.0358,0.00191793,0.00191793,0.00191793
4,1347.07,3.85688,3.94607,1.0816,0.01065,0.36226,0.03627,0.00986,3.37922,3.27506,0.99962,0.0018812,0.0018812,0.0018812
5,1635.51,3.64328,3.63855,1.03832,0.10049,0.16391,0.0466,0.0115,3.59917,3.16794,0.99815,0.0018416,0.0018416,0.0018416
6,1924.32,3.53123,3.5096,1.01587,0.147,0.16667,0.06715,0.01599,3.35097,3.03264,0.99556,0.001802,0.001802,0.001802
7,2215.48,3.43824,3.38537,1.00535,0.16427,0.16116,0.06797,0.01646,3.51761,2.82816,0.98676,0.0017624,0.0017624,0.0017624
8,2504.5,3.35014,3.25421,0.9925,0.14688,0.14325,0.06531,0.01495,3.4085,2.86509,1.01634,0.0017228,0.0017228,0.0017228
9,2789.94,3.35608,3.2515,0.99167,0.23489,0.12009,0.08851,0.02073,3.26018,3.11193,0.99273,0.0016832,0.0016832,0.0016832
10,3076.68,3.30512,3.14814,0.98113,0.1352,0.11019,0.05502,0.01288,3.254,2.96209,0.98979,0.0016436,0.0016436,0.0016436
11,3361.77,3.28401,3.09882,0.97997,0.10684,0.06336,0.02889,0.00584,4.12829,2.82049,1.0468,0.001604,0.001604,0.001604
12,3649.39,3.26225,3.0753,0.97927,0.16579,0.11708,0.06647,0.0146,3.36344,2.98084,1.01796,0.0015644,0.0015644,0.0015644
13,3934.34,3.27496,3.04401,0.97878,0.2045,0.18595,0.10541,0.02829,3.01178,2.58186,0.94368,0.0015248,0.0015248,0.0015248
14,4228.96,3.21025,2.99116,0.97405,0.21215,0.22727,0.12956,0.03022,3.13568,2.53748,0.96177,0.0014852,0.0014852,0.0014852
15,4517.95,3.2237,2.99929,0.97425,0.20669,0.16804,0.10616,0.02639,3.22803,2.68839,0.97815,0.0014456,0.0014456,0.0014456
16,4803.6,3.18049,2.95354,0.96396,0.02547,0.03719,0.00501,0.00075,4.3317,3.03133,1.07414,0.001406,0.001406,0.001406
17,5095.27,3.21079,2.91623,0.96691,0.21204,0.23416,0.12252,0.03132,3.04088,2.48401,0.93808,0.0013664,0.0013664,0.0013664
18,5382.92,3.16282,2.90737,0.96798,0.09949,0.18044,0.03669,0.00786,3.62466,2.96754,0.99416,0.0013268,0.0013268,0.0013268
19,5667.94,3.11267,2.84668,0.96392,0.17242,0.19559,0.09442,0.02288,3.17806,2.56908,0.94992,0.0012872,0.0012872,0.0012872
20,5953.55,3.12088,2.81923,0.95549,0.07883,0.10468,0.0248,0.00461,3.81227,2.8538,1.02701,0.0012476,0.0012476,0.0012476
21,6244.74,3.13686,2.83019,0.96033,0.22488,0.25895,0.13979,0.0351,3.06694,2.34762,0.94899,0.001208,0.001208,0.001208
