epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.135,1.35637,66.8773,0.36465,9e-05,0.00275,4e-05,1e-05,4.48956,544.684,1.18553,0.000663677,0.000663677,0.000663677
2,226.469,4.17062,5.52318,1.15316,0.00692,0.32782,0.02474,0.00611,3.40186,3.2624,1.01758,0.001304,0.001304,0.001304
3,322.03,3.86403,3.89498,1.08375,0.14402,0.12672,0.04144,0.00866,3.33819,3.16978,1.01067,0.00191793,0.00191793,0.00191793
4,425.659,3.60983,3.57604,1.04459,0.15241,0.09091,0.04613,0.01177,3.23073,3.03309,0.98118,0.0018812,0.0018812,0.0018812
5,523.577,3.49281,3.32452,1.01908,0.0901,0.05923,0.02665,0.00581,3.86402,3.25943,1.01692,0.0018416,0.0018416,0.0018416
6,625.902,3.42487,3.22618,1.00224,0.13695,0.12121,0.04729,0.01098,3.58981,2.67579,0.99145,0.001802,0.001802,0.001802
7,720.824,3.34886,3.23791,0.99675,0.17663,0.17345,0.08292,0.01914,3.16749,2.56623,0.9762,0.0017624,0.0017624,0.0017624
8,824.218,3.30351,3.10527,0.98761,0.18101,0.15152,0.07654,0.01938,3.14663,2.72238,0.96011,0.0017228,0.0017228,0.0017228
9,917.691,3.27577,3.0996,0.98188,0.22673,0.11833,0.08827,0.0225,3.02232,2.74219,0.94575,0.0016832,0.0016832,0.0016832
10,1020.14,3.25759,3.04404,0.97525,0.18064,0.09229,0.07124,0.01791,3.08702,2.74309,0.95422,0.0016436,0.0016436,0.0016436
11,1118.49,3.23859,3.01363,0.97397,0.0982,0.11295,0.02878,0.00549,4.00737,2.8055,1.03723,0.001604,0.001604,0.001604
12,1219.06,3.19855,3.00334,0.97241,0.18343,0.15152,0.08213,0.02003,3.1862,2.59074,0.95431,0.0015644,0.0015644,0.0015644
13,1315.76,3.22062,2.96975,0.97322,0.1686,0.24385,0.09746,0.02675,2.95551,2.54515,0.93795,0.0015248,0.0015248,0.0015248
14,1416.17,3.17892,2.94587,0.97124,0.1341,0.11983,0.05493,0.0128,3.27122,2.82333,0.96376,0.0014852,0.0014852,0.0014852
15,1510.49,3.17484,2.92624,0.96936,0.19054,0.20661,0.08951,0.02158,3.22717,2.41681,0.95412,0.0014456,0.0014456,0.0014456
16,1611.24,3.17157,2.9436,0.96251,0.17117,0.19008,0.07924,0.01909,3.14179,2.58714,0.94436,0.001406,0.001406,0.001406
17,1713.92,3.16758,2.89452,0.96188,0.20261,0.23904,0.10399,0.02813,3.03731,2.42045,0.93606,0.0013664,0.0013664,0.0013664
18,1808.91,3.1139,2.84919,0.96266,0.20137,0.24242,0.10397,0.03023,2.87562,2.51767,0.92243,0.0013268,0.0013268,0.0013268
19,1912.04,3.10693,2.81634,0.96326,0.20354,0.25069,0.1106,0.02919,3.0019,2.46518,0.93066,0.0012872,0.0012872,0.0012872
20,2006.78,3.08883,2.79957,0.95269,0.13917,0.15014,0.05573,0.01184,3.44311,2.6508,0.97447,0.0012476,0.0012476,0.0012476
21,2110.49,3.10459,2.83802,0.95611,0.21011,0.2865,0.12134,0.03328,2.92532,2.37812,0.92166,0.001208,0.001208,0.001208
22,2210.73,3.13333,2.78333,0.95723,0.19586,0.23554,0.11308,0.02945,3.06118,2.42002,0.93387,0.0011684,0.0011684,0.0011684
23,2311.14,3.07984,2.75885,0.9556,0.2238,0.18733,0.13107,0.03829,2.89114,2.5382,0.92457,0.0011288,0.0011288,0.0011288
24,2408.56,3.08929,2.78778,0.95816,0.20217,0.26171,0.12106,0.03207,2.98352,2.53919,0.93076,0.0010892,0.0010892,0.0010892
25,2512.84,3.05176,2.73458,0.95536,0.21878,0.24793,0.13325,0.03546,2.96219,2.31587,0.92682,0.0010496,0.0010496,0.0010496
26,2607.51,3.08542,2.75201,0.95341,0.17122,0.19008,0.07801,0.01747,3.26074,2.53633,0.95319,0.00101,0.00101,0.00101
27,2710.25,3.05874,2.74135,0.95566,0.20763,0.25207,0.1182,0.0309,2.99337,2.33398,0.92955,0.0009704,0.0009704,0.0009704
28,2810.49,3.04503,2.73671,0.95146,0.20974,0.25895,0.12792,0.03243,3.00468,2.31919,0.92795,0.0009308,0.0009308,0.0009308
29,2911.99,3.04993,2.72134,0.94961,0.21153,0.27382,0.12813,0.03647,2.90246,2.32567,0.92583,0.0008912,0.0008912,0.0008912
30,3008.62,3.03258,2.67391,0.94307,0.21233,0.26309,0.12758,0.03516,2.95286,2.26586,0.92354,0.0008516,0.0008516,0.0008516
31,3112.46,3.02557,2.7055,0.94521,0.22516,0.26446,0.14166,0.03965,2.80341,2.29882,0.9109,0.000812,0.000812,0.000812
32,3209.64,3.01954,2.67906,0.95258,0.15544,0.19559,0.07298,0.0148,3.38575,2.46955,0.96662,0.0007724,0.0007724,0.0007724
33,3310.7,3.01647,2.65675,0.94519,0.21815,0.2259,0.1215,0.03007,3.06906,2.26605,0.93489,0.0007328,0.0007328,0.0007328
